estnaam;estnaamvol;tekening
W1_O5_OM_St;W1_O5_OM_St_Er drijven veel draadalgen op het water_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W1_O5_Sl_L;W1_O5_Sl_L_Er drijven veel draadalgen op het water_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W1_O7_Sl_L;W1_O7_Sl_L_Er drijven veel draadalgen op het water_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W2_O5_K_L;W2_O5_K_L_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_K_L
W2_O5_OM_St;W2_O5_OM_St_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W2_O5_Sl_L;W2_O5_Sl_L_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W2_O5_Sl_St;W2_O5_Sl_St_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W2_O6_Sl_L;W2_O6_Sl_L_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W1_O5_Sl_L
W2_O7_K_L;W2_O7_K_L_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W1_O5_K_L
W2_O7_Sl_L;W2_O7_Sl_L_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W1_O5_Sl_L
W2_O7_Sl_St;W2_O7_Sl_St_Het water is bedekt met een dichte laag van kroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W4_O1_K_L;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4a_O1_K_L
W4_O1_K_St;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St
W4_O1_Sl_L;W4_O1_Sl_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O7_Sl_L
W4_O1_Sl_St;W4_O1_Sl_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W4_O2_Sl_St;W4_O2_Sl_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W2_O5_Sl_St
W4_O5_DM_L;W4_O5_DM_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O7_DM_L
W4_O5_DM_St;W4_O5_DM_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O8_DM_St
W4_O5_K_L;W4_O5_K_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W4_O5_K_St;W4_O5_K_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St
W4_O5_OM_L;W4_O5_OM_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O5_OM_L
W4_O5_OM_St;W4_O5_OM_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O7_OM_St
W4_O5_Sl_L;W4_O5_Sl_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O5_Sl_L
W4_O5_Sl_St;W4_O5_Sl_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O5_Sl_L
W4_O6_OM_L;W4_O6_OM_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W4_O6_OM_L
W4_O6_Sl_L;W4_O6_Sl_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W4_O5_Sl_L
W4_O6_Sl_St;W4_O6_Sl_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W4_O5_Sl_L
W4_O7_K_L;W4_O7_K_L_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W4a_O1_K_L
W4_O7_K_St;W4_O7_K_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W4_O1_K_St
W4_O7_Sl_St;W4_O7_Sl_St_Het water is troebel met weinig waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W4_O7_Sl_L
W4a_O5_DM_L;W4a_O5_DM_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7a_O5_DM_St
W4a_O5_K_L;W4a_O5_K_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W4a_O5_OM_L;W4a_O5_OM_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W4a_O5_Sl_L;W4a_O5_Sl_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W4a_O5_Sl_St;W4a_O5_Sl_St_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W4a_O6_K_L;W4a_O6_K_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W4a_O6_OM_L;W4a_O6_OM_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_OM_L
W4a_O6_Sl_L;W4a_O6_Sl_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W6_O7_Sl_L
W4a_O7_Sl_L;W4a_O7_Sl_L_Het water is troebel met veel waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W4b_O5_K_L;W4b_O5_K_L_Het water is troebel met veel drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W4b_O5_OM_L;W4b_O5_OM_L_Het water is troebel met veel drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W4b_O5_Sl_L;W4b_O5_Sl_L_Het water is troebel met veel drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W4b_O6_OM_L;W4b_O6_OM_L_Het water is troebel met veel drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_OM_L
W5_O1_K_St;W5_O1_K_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_K_L
W5_O1_Sl_L;W5_O1_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O5_DM_L;W5_O5_DM_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O4_DM_L
W5_O5_OM_L;W5_O5_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W5_O5_Sl_L;W5_O5_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O5_Sl_St;W5_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O6_OM_L;W5_O6_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_OM_L
W5_O6_Sl_L;W5_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5_O6_Sl_St;W5_O6_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5_O7_Sl_L;W5_O7_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5_O7_Sl_St;W5_O7_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5_O8_Sl_L;W5_O8_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5a_O5_Sl_L;W5a_O5_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W5a_O5_Sl_St;W5a_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5a_O6_Sl_L;W5a_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag FLAB_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5b_O1_Sl_L;W5b_O1_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W5b_O5_K_L;W5b_O5_K_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_K_L
W5b_O5_OM_L;W5b_O5_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W5b_O5_Sl_L;W5b_O5_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W2_O5_Sl_St
W5b_O5_Sl_St;W5b_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5b_O6_Sl_L;W5b_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5b_O8_Sl_L;W5b_O8_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en het water is bedekt met een dichte laag kroos_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W5c_O5_K_L;W5c_O5_K_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_K_L
W5c_O5_OM_L;W5c_O5_OM_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W5c_O5_Sl_St;W5c_O5_Sl_St_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W5c_O6_Sl_L;W5c_O6_Sl_L_Het water is helder met veel verschillende, niet woekerende waterplanten en drijfbladplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W6_O5_OM_L;W6_O5_OM_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W6_O5_Sl_L;W6_O5_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O5_Sl_St;W6_O5_Sl_St_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O6_Sl_L;W6_O6_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W6_O7_Sl_L
W6_O7_Sl_L;W6_O7_Sl_L_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W6_O7_Sl_St;W6_O7_Sl_St_Het water is helder met veel woekerende waterplanten_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W6_O7_Sl_L
W7_O1_Sl_L;W7_O1_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O6_Sl_L
W7_O1_Sl_St;W7_O1_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O5_DM_L;W7_O5_DM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W5_O1_DM_L
W7_O5_K_L;W7_O5_K_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O3_K_L
W7_O5_OM_L;W7_O5_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7_O5_OM_St;W7_O5_OM_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O6_OM_L
W7_O5_Sl_L;W7_O5_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O5_Sl_St;W7_O5_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O6_K_L;W7_O6_K_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O3_K_L
W7_O6_OM_L;W7_O6_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
W7_O6_Sl_L;W7_O6_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W5_O6_Sl_L
W7_O6_Sl_St;W7_O6_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat weinig riet en de oevervegetatie is soortenrijk;W7_O7_Sl_St
W7_O7_Sl_L;W7_O7_Sl_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O7_Sl_St;W7_O7_Sl_St_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenarm;W7_O7_Sl_St
W7_O8_OM_L;W7_O8_OM_L_Het water is helder met weinig soorten ondergedoken waterplanten die niet woekeren_De oever is niet beschoeid, er staat veel riet en de oevervegetatie is soortenrijk;W7_O6_OM_L
