WS code;code;maand;jaar;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;antibio;DR;PAK;PPARg;Nrf2;PXR;p53-;p53+;SIMONI 1.2;EAG;SIMONI 1.2;bron
WLP001;WLPa;;2012;0;0.15;0;0;;0;0.02;0.18;0;0;0.24;0.09;0.55;;;0;;0.186;3310-EAG-2;0.186;
SMW003;SMW;;2012;0;0.13;0.02;0.02;;;0.27;0.48;0;0;0.17;0.35;0.37;;;0;;0.227;3000-EAG-1;0.227;
?;WLKa;;2011;;0;0.05;0.02;;0;0.87;0.23;0;0;0;0.14;0.11;;;0.14;;0.256;;0.256;
?;LEKa;;2015;0.25;0.01;0;0.02;0;0;0.24;0.79;0;0.01;0.51;0.32;0;0.38;0.03;0;0;0.284;;0.284;
NAP010;NAM;;2015;0;0.04;0;0;;0;0.04;0.08;0;0;0.25;0.3;0.51;0.41;0.91;0;1.3;0.29;3100-EAG-2;0.29;
WLP001;WLPb;;2015;0.5;0;0;0;;0;0.03;0.21;0;0.07;0.34;0.21;0.36;0.41;0.45;0;0;0.309;3310-EAG-2;0.309;
?;WLKb;;2015;;0.01;0;0.01;0;0;1.46;0.43;0;0.01;0.14;0.15;0;0.57;0.04;0;0;0.317;;0.317;
BOT001;BOT;;2015;0.25;0.06;0;0;;0;0.02;0.54;0;0;0.39;0.19;0.53;0.58;1;0;0;0.416;2550-EAG-1;0.416;
?;LEKb;;2016;1;0.01;0;0;0;0;0.42;0.55;0;0.17;0.75;0.13;0;0.37;0.03;0;0;0.444;;0.444;
?;WLKc;;2015;1;0.13;0;0.07;0;0;0;0;0;0;0.92;0.52;0;2.82;0.21;0;0;0.687;;0.687;
?;VEM;;2011;;0.06;0.05;0.04;;0;0.81;0.47;0;0;0;0.5;0.08;;;0.12;;0.316;;0.316;
?;AMRa;;2014;0;0;0.02;0.07;;0.01;0.38;0.69;0.02;0.13;1.1;;0;0.29;;0.36;;0.351;;0.351;
?;AMU;;2014;0;0;0;0.07;;0;0.43;0.75;0.05;0.83;1.01;;0;0.15;;0.4;;0.419;;0.419;
?;AMRb;;2015;0;0.03;0;0.1;;0;0.36;0.26;0.1;0.26;1.24;;0.2;0.47;1.28;0;;0.479;;0.479;
?;AMAb;;2015;0;0.02;0.02;0.17;;0;0.67;0.47;0.13;0.21;0.74;;0.29;0.15;1.23;0;;0.495;;0.495;
?;VEH;;2014;1.25;0.03;0.02;0.05;;0.01;0.79;0.29;0.29;0.34;0.38;;0;0.31;;0.28;;0.619;;0.619;
?;AMAa;;2014;0;0.02;0.02;0.05;;0;0.47;4.43;0.04;0.16;0.45;;0;0.11;;0;;0.684;;0.684;
?;EEM;;2015;0.5;0.03;0;0.07;;0;3.29;0.46;0.73;0.38;0.68;;0.46;0.43;0.45;0.28;;0.882;;0.882;
?;GBL;;2015;1;0.02;0;0.08;;0.01;7.8;0.54;1.83;0.45;0.7;;0.54;0.39;0.8;0;;1.65;;1.65;
?;GHIb;;2015;1.75;0.02;0;0.02;;0;5.24;0.39;2.26;1;0.83;;0.34;0.43;1.47;0.44;;1.692;;1.692;
?;GHIa;;2014;1;0.03;0.02;0.06;;0.01;5.52;1.73;2.7;1.36;0.54;;0;0.21;;0.24;;1.697;;1.697;
WOB004;WOBb;;2016;0;0.01;0;0;;0;0.17;0.18;0;0;0.08;0.03;0.05;0.15;0.1;0;0;0.082;2610-EAG-1;0.082;
?;MZD;;2011;;0.07;0.13;0.04;;0;0.09;0.4;0;0;0;0.23;0.21;;;0;;0.2;;0.2;
ZLP039;ZLP6a;j;2013;0;0.05;0.02;0.07;;;1.26;0.54;0;0;0.17;;0.32;;;0;;0.343;2150-EAG-3;0.343;
NLP041;NLP4a;;2015;0.25;0.02;0;0.02;;0;0.55;1.12;0;0.01;0.23;0.16;0;0.62;0.94;0;0;0.445;2130-EAG-1;0.445;
NLP004;NLP3b;s;2013;0.25;0.37;0;0;;;1.6;0;0;0;0.84;;0;;;0;;0.491;2130-EAG-1;0.491;
NLP004;NLP3a;j;2013;1.25;0.07;0;0.09;;;0.5;0.47;0;0;0.42;;0;;;0;;0.562;2130-EAG-1;0.562;
ZLP001;ZLP7b;;2016;0;0.03;0;0.05;;0;1.07;1.71;0;0.09;0.77;0.15;0.17;0.77;0.79;0;0;0.598;2150-EAG-3;0.598;
WOB004;WOBa;;2015;0;0.07;0;0.19;;0;0.46;0.6;0;0.11;0.34;0.14;0;1.59;2.53;0;0;0.66;2610-EAG-1;0.66;
ZLP001;ZLP7a;;2015;1;0.02;0;0.17;;0;0.85;1.14;0;0;0.31;0.24;0.16;0.66;0.71;0;0;0.681;2150-EAG-3;0.681;
ZLP001;ZLP2b;s;2013;1.25;0.07;0.04;0.24;;;1.36;0.56;0;0;0.42;;0.66;;;0;;0.829;2150-EAG-3;0.829;
ZLP039;ZLP6b;s;2013;0;0.13;0.05;0.59;;;0.4;1.05;0;0;0.44;;3.04;;;0;;0.864;2150-EAG-3;0.864;
PDB008;PDBb;;2016;0.75;0;0;0;;0;0.67;3.33;0;0.14;0.49;0.15;0;0.68;1.45;0;0;0.885;2520-EAG-1;0.885;
PZH001;GZHb;s;2013;0.75;0.34;0;0.53;;;1.21;0.7;0;0;0.24;;1.81;;;0;;0.959;2600-EAG-1;0.959;
PZH001;GZHa;j;2013;0;0.14;0.1;0;;;;;;0;0.15;;5.18;;;0;;1.057;2600-EAG-1;1.057;
NLP001;NLP2a;j;2013;2.75;0.02;0;0.04;;;0.45;0.91;0;0;0.31;;0.85;;;0;;1.086;2130-EAG-1;1.086;
PDB008;PDBa;;2015;0.25;0.1;0.07;0.21;;0;0.81;0.25;0;0;1.06;0.25;0;4.41;2.65;0;0;1.125;2520-EAG-1;1.125;
ZLP004;ZLP3b;s;2013;2.5;0.26;0.08;0;;;0.29;0.63;0;0;0.46;;1.7;;;0;;1.167;2150-EAG-3;1.167;
NLP041;NLP4b;;2016;0;0.03;0.05;0.09;;0;1.81;5.24;0;0.07;0.69;0.18;0;0.71;2.52;0;0;1.214;2130-EAG-1;1.214;
NLP001;NLP2b;s;2013;2.75;0.37;0;0;;;0.45;0.6;0;0;0.41;;1.12;;;0;;1.296;2130-EAG-1;1.296;
ZLP007;ZLP4b;s;2013;0.5;0.26;0;1.1;;;0.98;0.51;0;0;1.09;;3.51;;;0;;1.326;2150-EAG-3;1.326;
ZLP004;ZLP3a;j;2013;2.25;0.45;0.07;0.15;;;1.6;0.95;0;0;0.3;;1.58;;;1.06;;1.405;2150-EAG-3;1.405;
ZLP007;ZLP4a;j;2013;3.5;0.09;0.02;0.22;;;1.26;1.02;0;0;0.19;;0.67;;;0;;1.441;2150-EAG-3;1.441;
ZLP001;ZLP2a;j;2013;3;0.19;0.06;0.85;;;1.21;0.92;0;0;0.53;;0;;;0;;1.448;2150-EAG-3;1.448;
NLP037;NLP1;;2012;3.5;0.19;0.07;1.17;;;0.23;2.66;0;0.07;0.27;0.41;0.29;;;0;;1.528;2130-EAG-3;1.528;
ZLP038;ZLP5a;j;2013;3;0.24;0.26;1.14;;;0.45;0.5;0;0;0.54;;2.34;;;2.86;;1.847;2150-EAG-3;1.847;
ZLP038;ZLP5b;s;2013;5;0.15;0;0.74;;;0.31;0.38;0;0;0.39;;3.75;;;0;;2.208;2150-EAG-3;2.208;
ZLP115;ZLP1;;2012;5;0.26;0.08;7.63;;;0.17;1.44;0;0.13;0.34;0.28;0.53;;;6.34;;2.745;2150-EAG-3;2.745;
AMS022;AMW;;2016;0.5;0.02;0;0.03;0.6;0;0.88;1.79;0.04;0.07;0.56;0.44;0;0.38;0.52;0.01;0;0.64;2000-EAG-2;0.64;
ADM072;ADM;;2016;1.25;0.02;0;0;0.6;0;0.32;1.67;0;0;0.26;0.43;0;0.38;0.6;0.01;0;0.679;1000-EAG-1;0.679;
BUS037;BUS;;2016;0.5;0;0;0;0.18;0;5.71;2.05;0;0.14;0.83;0.48;0;0.56;1.88;0.03;0;1.285;4000-EAG-7;1.285;
MBP005;LOP;;2011;;0.02;0.04;0.02;;0;0;1.31;0;0;0;0.15;0.6;;;0.1;;0.323;3300-EAG-1;0.323;
VEC004;VEL;;2012;0;0.24;0.04;0.24;;;0.11;0.3;0;0;0.36;1.09;0.44;;;0;;0.343;3000-EAG-1;0.343;
VEC011;VEU;;2012;0;0.06;0.03;0.31;;;0.35;0.67;0.04;0.1;0.39;0.94;0.34;;;0;;0.389;3000-EAG-1;0.389;rwzi utrecht
AMS021;AMU2;;2012;0;0.18;0.07;0.45;;;0.14;1.21;0;0.02;0.64;1.93;0.64;;;0;;0.649;2000-EAG-6;0.649;
VEC016;VES;;2016;1;0.02;0;0;0.18;0;1.14;1.33;0.14;0.31;0.69;0.52;0;0.49;0.31;0;0;0.715;3000-EAG-1;0.715;zuidelijk deel vecht: rwzi en polders achtienhoven
AMS003;AMU1;;2012;1.5;0.08;0.04;0.15;;;0.07;0.63;0;0;0.6;1.37;0.27;;;0;;0.779;2000-EAG-6;0.779;RWZI, glastuinbouw
HIL086;HHI;;2016;1.5;0.05;0;0.04;0.18;0;3.45;0;0;0;0.58;0.37;0;0.35;0.73;0;0;0.882;4250-EAG-1;0.882;haven
PKH442;KOR;;2016;2.5;0.04;0;0;0.6;0;0.63;1.17;0;0.01;0.41;0.26;0;0.51;1.16;0.03;0;0.983;3230-EAG-4;0.983;vuilstort
HAP007;ANK;;2016;1;0.06;0;0;0.18;0;4.17;0;0;0.01;1.17;0.67;0;0.63;1.05;0.04;0;1.002;4210-EAG-4;1.002;vuilstort
MUY001;Jachthaven Vrijbuiter;5;2017;4.5;0.02;0.04;0;0.79;0;0.1;1.65;0;0;0.65;0.19;0.62;0.16;0.81;0.15;0.01;;3300-EAG-1;1.417;haven
BRE009;Gemaal Breukelen;5;2017;4;0.05;0;0;0.06;0;1.43;0.29;0;0.02;0.49;0.08;0.38;0.2;2.73;0.02;0.02;;6570-EAG-1;1.379;riool
PGW002;Jachthaven Omzicht;5;2017;2.25;0.08;0;0;0.06;0;0.1;0.24;0;0;0.29;0.33;0.26;0.17;1.97;0.02;0.02;;2500-EAG-5;0.811;haven
PBW006;Hoge kant stuw;5;2017;2.5;0.14;0;0.06;1.79;0.02;0.26;3.57;0;0.02;0.43;0.25;0;0.41;6.13;0.12;0.12;;2570-EAG-1;1.84;snelweg
LMP002;Econet Lutkemeerwe;10;2017;0.5;0.08;0;0;0.6;0.01;0.11;1.9;0;0.01;0.29;0.35;0;0.68;2.91;0.06;0.17;;8050-EAG-2;0.812;akkerbouw
BUS037;Vaartweg/Brediusweg;10;2017;0.25;0.1;0;0.11;0.18;0.01;1.79;0;0;0.04;8.83;1.47;0.58;0;8.09;0.06;0.06;;4000-EAG-7;2.198;riool
RWM005;Ringvaart Watergraafsmeer;10;2017;0;0.13;0;0;0.18;0;0;1;0;0.01;0.84;1.27;0;1.28;5.02;0.29;0.29;;2000-EAG-1;1.014;
ZLP038;zuidelijk kassengebied midd;10;2017;0.25;0.25;0.12;0.83;0.18;0.02;0.29;0.74;0;0.12;1.26;1.4;0;1.87;6.99;0.1;0.1;;2150-EAG-3;1.584;
HAP007;Holl.End nr.34;10;2017;0;0.23;0;0;0.18;0.02;3.33;0.64;0;0.15;1.14;1.78;0;1.58;5.27;0.1;0.29;;4210-EAG-4;1.474;
HLV003;Westergasfabriek;5;2017;4.25;0.01;0;0;0.79;0;1.1;2.44;0;0.85;1.67;1.27;0.05;0;0.49;0.05;0.02;;1000-EAG-1;1.721;gasfabriek
LMP002;Econel Lutkemeerweg;5;2017;2.25;0.05;0;0.04;;0.01;;;;;0.68;0.93;0;0.7;2.15;0.03;0.03;;8050-EAG-2;1.224;akkerbouw
LMP004;Aflaat natuurgebied;5;2017;4.75;0.07;0;0;3.57;0.02;0.55;7.14;0;0.02;0.34;0.12;0;0.86;2.38;0.11;0.11;;8050-EAG-3;2.473;saneringsslib
ADM075;Amstel Magere brug;5;2017;1.75;0.02;0;0.01;0.18;0;0.39;0.6;0;0.01;0.92;0.23;0.16;0.2;0.95;0.01;0.01;;1000-EAG-1;0.724;riool
NYA006;Oostenburgervaart;5;2017;1.75;0.06;0;0;0.36;0;2.19;0.9;0;1.06;1.53;0.46;0.17;0.62;1.94;0.05;0.02;;6000-EAG-1;1.29;bodem
ADM065;Wittenburgervaart;5;2017;3;0.03;0;0;0.6;0;0.82;1.14;0;0.04;0.95;0.38;0.98;0;2.15;0.17;0.02;;6000-EAG-1;1.323;bodem
MPA024;Dijkgravenlaan;5;2017;0.5;0.06;0.03;0.05;5.95;0;5.12;3.57;0;0.25;0.31;0.16;0;0.58;1.64;0.02;0.02;;2110-EAG-5;1.891;riool
GSZ001;Gemeenschapsweg;5;2017;2.25;0.11;0;0;0.18;0;0.9;0.6;0;0.04;0.6;0.16;0.64;0.93;3.11;0.02;0.02;;3050-EAG-1;1.19;industrie
GZK006;Brug Meentweg;5;2017;1.75;0.04;0;0.11;0.06;0;4.52;0.23;1.61;1.39;0.57;0.24;0.22;0.24;1.5;0.01;0.04;;;1.439;riool
HUI018;hoek Huizermaat;5;2017;1;0.16;0;0.09;1.79;0.01;5.83;2.62;0;0.6;1.24;0.3;0.47;0.35;5.74;0.04;0.04;;7100-EAG-2;2.149;riool
AMS003;Amstel, amstel brug provincialeweg uithoorn;7;2018;0.75;0.03;0;0.17;1.19;0.01;0.57;0.35;0.06;0.28;0;1.16;0;1.48;1.49;0;0;;2000-EAG-6;0.837;KRW
BOP008;poldersl.zuid vuilst.h.brug;7;2018;3.5;0.09;0.09;0;5.95;0.14;2.98;0.33;0;0.17;0;0.52;0;4.33;3.51;0;2.16;;4110-EAG-1;2.62;vuilstort
MBP041;"Kievitsbuurt Noord; ""kluitje in het riet"" voor huis De Kooy invaren";7;2018;4;0.04;0;0.08;1.19;0.02;0.18;0;0;0;0;2.85;0;0;2.03;0.35;1.05;;3300-EAG-3;1.463;bagger en legakkerherstel
NIJ006;nieuwe potetiele bron (vervuilde grond in gronddepot);7;2018;0.75;0.04;0;0;0.18;0.01;0.09;0.13;0;0;0;1.12;0;1.05;2.01;0;0.02;;6100-EAG-1;0.594;
PKH448;Hilversumskanaal (oostkant) sporthavenpad, Hilversum;7;2018;4.5;0;0;0;;0.01;;;;;0;1.27;0;0.33;1.34;0.22;0.22;;;1.623;oude haven
RIJ001;2 riooloverstorten en BBB's en dikke sliblaag (meetwens vanuit WGP);7;2018;2.5;0.15;0;0;0.18;0.04;1.11;0.07;0;0.2;0;3.34;0;2.93;8.14;0;0;;;2.037;
VEC004;Vecht, Vecht eilandseweg to nr.16;7;2018;0.5;0;0;0;0.79;0.01;0.22;0.09;0;0;0;1.38;0;0.76;0.81;0.48;0.48;;3000-EAG-1;0.535;
ZLP038;kruising achterweg dwarsweg, zuiderlegmeer;7;2018;2;0.02;0;0.1;;0;;;;;0;1.11;0;0.75;0.97;0;0.06;;2150-EAG-3;0.946;
